groom_giver,groom_reciever,constrained_duration,observation_name
29V,juvenile,171,2011-04-27_29V_BA_3
29V,juvenile,90,2011-04-27_29V_BA_3
29V,juvenile,72,2011-04-27_29V_BA_3
29V,juvenile,34,2011-04-27_29V_BA_3
74S,04T,165,2011-04-27_74S_BA_5
82L,juvenile,304,2011-04-27_82L_BA_5
82L,juvenile,106,2011-04-27_82L_BA_5
28N,36S,249,2011-04-28_28N_BA_3
28N,36S,23,2011-04-28_28N_BA_3
31I,adult,272,2011-04-28_31I_BA_6
60P,juvenile,37,2011-04-28_60P_BA_4
60P,juvenile,67,2011-04-28_60P_BA_4
50S,62H,26,2011-04-29_50S_BA_3
50S,56A,254,2011-04-29_50S_BA_3
80T,juvenile,64,2011-04-29_80T_BA_3
17C,juvenile,41,2011-04-04_17C_BA_2
17C,juvenile,354,2011-04-04_17C_BA_2
17C,juvenile,27,2011-04-04_17C_BA_2
40L,juvenile,36,2011-04-04_40L_BA_1
64P,juvenile,144,2011-04-06_64P_BA_1
82A,juvenile,73,2011-04-06_82A_BA_3
14L,36S,83,2011-05-10_14L_BA_3
55V,50I,146,2011-05-10_55V_BA_4
62H,juvenile,32,2011-05-10_62H_BA_2
28N,juvenile,116,2011-05-11_28N_BA_4
28N,juvenile,54,2011-05-11_28N_BA_4
28N,50I,11,2011-05-11_28N_BA_4
35N,juvenile,173,2011-05-11_35N_BA_3
35N,juvenile,144,2011-05-11_35N_BA_3
35N,juvenile,41,2011-05-11_35N_BA_3
64P,juvenile,48,2011-05-11_64P_BA_6
9A4,V36,69,2011-05-11_9A4_BA_3
2A5,juvenile,46,2011-05-12_2A5_BA_6
61J,juvenile,95,2011-05-12_61J_BA_6
92D,82A,67,2011-05-12_92D_BA_5
Z14,43F,489,2011-05-12_Z14_BA_2
Z14,43F,45,2011-05-12_Z14_BA_2
Z14,43F,31,2011-05-12_Z14_BA_2
92D,juvenile,89,2011-05-13_92D_BA_3
04T,adult,526,2011-05-18_04T_BA_5
1B1,35V,338,2011-05-18_1B1_BA_5
14L,43P,97,2011-05-19_14L_BA_2
